,p_id,professor,student,hasPosition,inPhase,yearsInProgram
0,3.0,0.0,1.0,0,0,0
1,4.0,0.0,1.0,0,0,0
2,6.0,0.0,1.0,0,Post_Quals,Year_2
3,6.0,0.0,1.0,0,Post_Quals,Year_2
4,7.0,1.0,0.0,Faculty_adj,0,0
5,13.0,0.0,1.0,0,Post_Generals,Year_7
6,14.0,0.0,1.0,0,Post_Generals,Year_10
7,15.0,0.0,1.0,0,Post_Quals,Year_3
8,19.0,0.0,1.0,0,Pre_Quals,Year_1
9,20.0,0.0,1.0,0,Pre_Quals,Year_1
10,21.0,0.0,1.0,0,Post_Generals,Year_5
11,23.0,0.0,1.0,0,0,0
12,27.0,0.0,1.0,0,Pre_Quals,Year_1
13,29.0,1.0,0.0,Faculty_adj,0,0
14,31.0,0.0,1.0,0,0,0
15,35.0,0.0,1.0,0,0,0
16,36.0,0.0,1.0,0,0,0
17,37.0,0.0,1.0,0,Pre_Quals,Year_1
18,38.0,0.0,1.0,0,0,0
19,39.0,0.0,1.0,0,0,0
20,41.0,0.0,1.0,0,Post_Quals,Year_5
21,42.0,0.0,1.0,0,Pre_Quals,Year_1
22,45.0,0.0,1.0,0,Post_Generals,Year_5
23,45.0,0.0,1.0,0,Post_Generals,Year_5
24,51.0,0.0,1.0,0,Pre_Quals,Year_2
25,58.0,0.0,1.0,0,0,0
26,61.0,0.0,1.0,0,0,0
27,62.0,0.0,1.0,0,Pre_Quals,Year_2
28,63.0,0.0,1.0,0,Post_Generals,Year_5
29,67.0,0.0,1.0,0,Post_Generals,Year_6
30,67.0,0.0,1.0,0,Post_Generals,Year_6
31,68.0,0.0,1.0,0,Post_Generals,Year_5
32,70.0,0.0,1.0,0,Pre_Quals,Year_1
33,71.0,0.0,1.0,0,0,0
34,73.0,0.0,1.0,0,Post_Quals,Year_4
35,76.0,0.0,1.0,0,0,0
36,77.0,0.0,1.0,0,0,0
37,80.0,0.0,1.0,0,Post_Generals,Year_6
38,81.0,0.0,1.0,0,Post_Generals,Year_6
39,81.0,0.0,1.0,0,Post_Generals,Year_6
40,83.0,0.0,1.0,0,Post_Quals,Year_5
41,84.0,0.0,1.0,0,0,0
