p_id,professor,student,hasPosition,inPhase,yearsInProgram,course_id,courseLevel,p_id_dummy
3.0,0.0,1.0,0,0,0,,,
4.0,0.0,1.0,0,0,0,,,
6.0,0.0,1.0,0,Post_Quals,Year_2,,,29.0
6.0,0.0,1.0,0,Post_Quals,Year_2,,,165.0
7.0,1.0,0.0,Faculty_adj,0,0,,,
13.0,0.0,1.0,0,Post_Generals,Year_7,,,240.0
14.0,0.0,1.0,0,Post_Generals,Year_10,,,150.0
15.0,0.0,1.0,0,Post_Quals,Year_3,,,
19.0,0.0,1.0,0,Pre_Quals,Year_1,,,
20.0,0.0,1.0,0,Pre_Quals,Year_1,,,
21.0,0.0,1.0,0,Post_Generals,Year_5,,,211.0
23.0,0.0,1.0,0,0,0,,,
27.0,0.0,1.0,0,Pre_Quals,Year_1,,,
29.0,1.0,0.0,Faculty_adj,0,0,,,
31.0,0.0,1.0,0,0,0,,,
35.0,0.0,1.0,0,0,0,,,
36.0,0.0,1.0,0,0,0,,,
37.0,0.0,1.0,0,Pre_Quals,Year_1,,,79.0
38.0,0.0,1.0,0,0,0,,,
39.0,0.0,1.0,0,0,0,,,
41.0,0.0,1.0,0,Post_Quals,Year_5,,,394.0
42.0,0.0,1.0,0,Pre_Quals,Year_1,,,
45.0,0.0,1.0,0,Post_Generals,Year_5,,,211.0
45.0,0.0,1.0,0,Post_Generals,Year_5,,,415.0
51.0,0.0,1.0,0,Pre_Quals,Year_2,,,
58.0,0.0,1.0,0,0,0,,,
61.0,0.0,1.0,0,0,0,,,
62.0,0.0,1.0,0,Pre_Quals,Year_2,,,104.0
63.0,0.0,1.0,0,Post_Generals,Year_5,,,415.0
67.0,0.0,1.0,0,Post_Generals,Year_6,,,98.0
67.0,0.0,1.0,0,Post_Generals,Year_6,,,375.0
68.0,0.0,1.0,0,Post_Generals,Year_5,,,201.0
70.0,0.0,1.0,0,Pre_Quals,Year_1,,,
71.0,0.0,1.0,0,0,0,,,
73.0,0.0,1.0,0,Post_Quals,Year_4,,,
76.0,0.0,1.0,0,0,0,,,
77.0,0.0,1.0,0,0,0,,,
80.0,0.0,1.0,0,Post_Generals,Year_6,,,234.0
81.0,0.0,1.0,0,Post_Generals,Year_6,,,342.0
81.0,0.0,1.0,0,Post_Generals,Year_6,,,393.0
83.0,0.0,1.0,0,Post_Quals,Year_5,,,349.0
84.0,0.0,1.0,0,0,0,,,
85.0,0.0,1.0,0,0,0,,,
86.0,0.0,1.0,0,0,0,,,
87.0,0.0,1.0,0,0,0,,,
88.0,0.0,1.0,0,0,0,,,
89.0,0.0,1.0,0,Post_Generals,Year_5,,,104.0
90.0,0.0,1.0,0,0,0,,,
92.0,0.0,1.0,0,Post_Generals,Year_5,,,101.0
94.0,0.0,1.0,0,Pre_Quals,Year_1,,,
96.0,0.0,1.0,0,Post_Generals,Year_5,,,5.0
100.0,0.0,1.0,0,Post_Quals,Year_5,,,104.0
100.0,0.0,1.0,0,Post_Quals,Year_5,,,235.0
102.0,0.0,1.0,0,0,0,,,
105.0,0.0,1.0,0,0,0,,,
108.0,0.0,1.0,0,0,0,,,
111.0,1.0,0.0,Faculty_adj,0,0,,,
113.0,0.0,1.0,0,Post_Generals,Year_4,,,342.0
113.0,0.0,1.0,0,Post_Generals,Year_4,,,394.0
115.0,1.0,0.0,Faculty,0,0,,,
116.0,0.0,1.0,0,Pre_Quals,Year_3,,,124.0
118.0,0.0,1.0,0,Post_Generals,Year_4,,,5.0
119.0,0.0,1.0,0,0,0,,,
122.0,0.0,1.0,0,Post_Quals,Year_4,,,72.0
123.0,0.0,1.0,0,0,0,,,
125.0,0.0,1.0,0,0,0,,,
126.0,0.0,1.0,0,Post_Quals,Year_5,,,213.0
129.0,0.0,1.0,0,Post_Generals,Year_6,,,179.0
129.0,0.0,1.0,0,Post_Generals,Year_6,,,234.0
130.0,0.0,1.0,0,Post_Generals,Year_8,,,124.0
131.0,0.0,1.0,0,0,0,,,
138.0,0.0,1.0,0,0,0,,,
139.0,0.0,1.0,0,Post_Quals,Year_3,,,
140.0,0.0,1.0,0,0,0,,,
142.0,0.0,1.0,0,Post_Generals,Year_9,,,342.0
144.0,0.0,1.0,0,0,0,,,
146.0,0.0,1.0,0,0,0,,,
148.0,0.0,1.0,0,Post_Quals,Year_5,,,171.0
149.0,0.0,1.0,0,Post_Quals,Year_5,,,
154.0,0.0,1.0,0,Post_Quals,Year_4,,,124.0
154.0,0.0,1.0,0,Post_Quals,Year_4,,,235.0
155.0,0.0,1.0,0,Pre_Quals,Year_2,,,101.0
157.0,0.0,1.0,0,Post_Quals,Year_4,,,72.0
158.0,0.0,1.0,0,0,0,,,
159.0,0.0,1.0,0,Post_Quals,Year_2,,,57.0
159.0,0.0,1.0,0,Post_Quals,Year_2,,,201.0
161.0,0.0,1.0,0,Post_Generals,Year_7,,,
163.0,0.0,1.0,0,Post_Quals,Year_4,,,393.0
167.0,0.0,1.0,0,0,0,,,
172.0,0.0,1.0,0,Pre_Quals,Year_1,,,
175.0,0.0,1.0,0,Post_Generals,Year_2,,,
176.0,0.0,1.0,0,Post_Quals,Year_2,,,407.0
178.0,0.0,1.0,0,0,0,,,
182.0,0.0,1.0,0,Post_Quals,Year_3,,,
183.0,0.0,1.0,0,Pre_Quals,Year_4,,,5.0
185.0,1.0,0.0,Faculty_adj,0,0,,,
186.0,0.0,1.0,0,Pre_Quals,Year_1,,,
187.0,0.0,1.0,0,Pre_Quals,Year_1,,,
188.0,0.0,1.0,0,0,0,,,
190.0,0.0,1.0,0,0,0,,,
191.0,0.0,1.0,0,Post_Quals,Year_4,,,
193.0,0.0,1.0,0,Pre_Quals,Year_1,,,
195.0,0.0,1.0,0,0,0,,,
198.0,0.0,1.0,0,0,0,,,
200.0,0.0,1.0,0,Post_Quals,Year_4,,,72.0
203.0,0.0,1.0,0,0,0,,,
205.0,0.0,1.0,0,Pre_Quals,Year_1,,,
206.0,0.0,1.0,0,Post_Generals,Year_6,,,72.0
206.0,0.0,1.0,0,Post_Generals,Year_6,,,342.0
207.0,0.0,1.0,0,0,0,,,
208.0,0.0,1.0,0,Post_Quals,Year_4,,,319.0
212.0,0.0,1.0,0,Post_Generals,Year_7,,,180.0
214.0,0.0,1.0,0,0,0,,,
217.0,0.0,1.0,0,Post_Generals,Year_5,,,72.0
217.0,0.0,1.0,0,Post_Generals,Year_5,,,342.0
218.0,0.0,1.0,0,Post_Generals,Year_12,,,101.0
222.0,0.0,1.0,0,Pre_Quals,Year_1,,,
223.0,0.0,1.0,0,0,0,,,
226.0,0.0,1.0,0,Post_Quals,Year_4,,,324.0
228.0,0.0,1.0,0,Post_Quals,Year_3,,,342.0
228.0,0.0,1.0,0,Post_Quals,Year_3,,,393.0
228.0,0.0,1.0,0,Post_Quals,Year_3,,,394.0
230.0,0.0,1.0,0,0,0,,,
232.0,0.0,1.0,0,0,0,,,
233.0,0.0,1.0,0,Pre_Quals,Year_1,,,
237.0,0.0,1.0,0,0,0,,,
239.0,0.0,1.0,0,Post_Quals,Year_4,,,171.0
241.0,0.0,1.0,0,Post_Quals,Year_3,,,
242.0,0.0,1.0,0,Post_Generals,Year_5,,,29.0
242.0,0.0,1.0,0,Post_Generals,Year_5,,,165.0
249.0,0.0,1.0,0,Post_Generals,Year_7,,,331.0
253.0,0.0,1.0,0,Post_Generals,Year_5,,,101.0
257.0,0.0,1.0,0,Post_Generals,Year_7,,,240.0
258.0,0.0,1.0,0,0,0,,,
259.0,0.0,1.0,0,0,0,,,
261.0,0.0,1.0,0,0,0,,,
262.0,0.0,1.0,0,Post_Generals,Year_7,,,292.0
262.0,0.0,1.0,0,Post_Generals,Year_7,,,415.0
265.0,0.0,1.0,0,Post_Generals,Year_9,,,168.0
266.0,0.0,1.0,0,Post_Quals,Year_5,,,7.0
269.0,0.0,1.0,0,0,0,,,
270.0,0.0,1.0,0,Pre_Quals,Year_1,,,
271.0,0.0,1.0,0,0,0,,,
272.0,0.0,1.0,0,Post_Quals,Year_2,,,7.0
274.0,0.0,1.0,0,0,0,,,
275.0,0.0,1.0,0,Post_Generals,Year_5,,,79.0
276.0,0.0,1.0,0,Pre_Quals,Year_3,,,407.0
277.0,0.0,1.0,0,Pre_Quals,Year_1,,,
280.0,0.0,1.0,0,Pre_Quals,Year_3,,,101.0
283.0,0.0,1.0,0,Pre_Quals,Year_1,,,
284.0,0.0,1.0,0,Post_Quals,Year_3,,,
286.0,0.0,1.0,0,Post_Quals,Year_3,,,171.0
287.0,0.0,1.0,0,0,0,,,
288.0,0.0,1.0,0,Post_Generals,Year_5,,,165.0
294.0,0.0,1.0,0,0,0,,,
296.0,0.0,1.0,0,0,0,,,
299.0,0.0,1.0,0,Pre_Quals,Year_3,,,
300.0,0.0,1.0,0,Post_Generals,Year_8,,,342.0
303.0,0.0,1.0,0,Post_Quals,Year_4,,,29.0
303.0,0.0,1.0,0,Post_Quals,Year_4,,,165.0
306.0,0.0,1.0,0,0,0,,,
309.0,0.0,1.0,0,Post_Quals,Year_3,,,378.0
310.0,0.0,1.0,0,0,0,,,
311.0,0.0,1.0,0,Post_Quals,Year_3,,,
